what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1364345811117
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1364345811117
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1364345811117
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1364345811117
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1364345811117
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.core",1364345811117
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.ui",1364345811117
started,bundle,org.eclipse.mylyn.commons.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.core",1364345811117
started,bundle,org.eclipse.mylyn.commons.net,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.net",1364345811117
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.core",1364345811117
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.feed",1364345811118
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.ui",1364345811118
started,bundle,org.eclipse.mylyn.commons.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.ui",1364345811118
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.workbench",1364345811118
started,bundle,org.eclipse.mylyn.context.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.core",1364345811118
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.tasks.ui",1364345811118
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.monitor.ui",1364345811118
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.index.core",1364345811118
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.ui",1364345811118
os,sysinfo,,,"macosx",1364345811121
arch,sysinfo,,,"x86",1364345811121
ws,sysinfo,,,"cocoa",1364345811121
locale,sysinfo,,,"en_US",1364345811121
processors,sysinfo,,,"2",1364345811121
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364345811121
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1364345811121
java.specification.name,sysinfo,,,"Java Platform API Specification",1364345811121
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364345811121
java.specification.version,sysinfo,,,"1.6",1364345811121
java.vendor,sysinfo,,,"Apple Inc.",1364345811121
java.version,sysinfo,,,"1.6.0_43",1364345811121
java.vm.info,sysinfo,,,"mixed mode",1364345811121
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364345811121
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364345811121
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364345811121
java.vm.specification.version,sysinfo,,,"1.0",1364345811121
java.vm.vendor,sysinfo,,,"Apple Inc.",1364345811121
java.vm.version,sysinfo,,,"20.14-b01-447",1364345811121
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1364345811124
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1364345811241
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1364345811260
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1364345811304
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1364345811329
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1364345811480
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1364345811487
started,bundle,com.objectaid.uml,1.0.10,"com.objectaid.uml",1364345812155
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1364345812194
started,bundle,org.eclipse.mylyn.team.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.team.ui",1364345812318
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1364345812443
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1364345812726
started,bundle,com.objectaid.uml.cls,1.0.10,"com.objectaid.uml.cls",1364345813239
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1364345813294
started,bundle,com.objectaid.uml.seq,1.0.10,"com.objectaid.uml.seq",1364345813689
